Path12,
40.84743362854116,-73.87679371515945,
40.84696673281147,-73.87706665210456,
40.84634739230924,-73.8771600645576,
40.8457896834867,-73.8773376170168,
40.84470053103265,-73.87783809987174,
40.84500120146253,-73.87809942107779,
40.8453995586774,-73.8783696372917,
40.84571379443769,-73.87869905688,
40.84591159500632,-73.87915782456956,
40.84594824371433,-73.87951393316949,
40.84608605602261,-73.87968374656309,
40.84634391835766,-73.87984607373832,
40.84651983392144,-73.88017982792955,
40.84649093047413,-73.88029056739188,
40.84686221550363,-73.88084063850971,
40.84684119342724,-73.88098853165957,
40.84772578077481,-73.88218463434754,
40.84778433626907,-73.8823614532714,
40.84792331142075,-73.88242648793964,
40.84804630277434,-73.8823972308292,
40.84814926890176,-73.88231452340688,
40.84827410857613,-73.8822020742876,
40.84847600993361,-73.88207762888813,
40.84854831090218,-73.88230707562462,
40.84865060758236,-73.88223272996261,
40.84861875040684,-73.88197657421996,
40.84847439929639,-73.88209406727918,
40.84918115924331,-73.88140352782486,
40.84974128818611,-73.88091336208988,
40.85066876047437,-73.88035197914049,
40.85078016663062,-73.88031239540028,
40.85105732311658,-73.88040933831064,
40.8515925273447,-73.88166405173324,
