Path13,
40.84568165137795,-73.87739103089508,
40.84585014623379,-73.87753347402722,
40.84602098960971,-73.87762940931879,
40.84638442840185,-73.87734268824184,
40.84628863013997,-73.87716882539539,
40.8463790370612,-73.87733432728538,
40.84661538777918,-73.8772128314177,
40.84678825340075,-73.87726287267331,
40.84690338371639,-73.87739232544634,
40.84702751343885,-73.87793834232268,
40.84713317051374,-73.87801888889106,
40.84731330948205,-73.87801496055224,
40.84748537969438,-73.87824073130403,
40.84765878208205,-73.8781438091248,
40.84820339388223,-73.87802553070107,
40.84864117992483,-73.8780645607227,
