Tiger Mountain,1,
40.85129961532173,-73.87716807492444,
40.8512868019711,-73.8773251958766,
40.85117753867752,-73.87740965365883,
40.85107134896386,-73.87754303332069,
40.85097434666056,-73.87751830469544,
40.85092297201235,-73.87744987322405,
40.85085772004715,-73.8772701479021,
40.85088637022467,-73.87720827821697,
40.85102780425202,-73.87711688015132,
40.85099246148607,-73.87699634832553,
40.85099625087831,-73.87693299020506,
40.85107879051402,-73.87686550531366,
40.85118193076898,-73.87686103379552,
40.85126152926518,-73.87680223776896,
40.85131757275159,-73.87681170027231,
40.85137784082789,-73.87694533583658,
40.85129961532173,-73.87716807492444,
