Birds of Prey,1,
40.8532280037562,-73.87974605967695,
40.85314176206797,-73.8798472622612,
40.85303795825543,-73.88003512655715,
40.85303335625341,-73.88015176886483,
40.85299538043468,-73.88020781840386,
40.85289468294468,-73.88019859314774,
40.85284852989592,-73.88014751670339,
40.85289687982775,-73.88004714665897,
40.85295090626794,-73.87983061526504,
40.85302965630233,-73.87966354720703,
40.85322928049763,-73.87951692920937,
40.85330073098375,-73.87955760691734,
40.85333669581017,-73.87965898253776,
40.8532280037562,-73.87974605967695,
