Path3.5,
40.85260742191051,-73.87613033217707,
40.85276209589109,-73.87611796224556,
40.85280867407187,-73.87611216300138,
40.85274847782283,-73.8760561812615,
40.85267032588271,-73.87597574165314,
40.85262490888006,-73.87591964607734,
40.85256839808322,-73.87578976913262,
40.85271920337489,-73.87589201462777,
40.85280419157876,-73.87592889921406,
40.85287575624613,-73.87598264833873,
40.8525814708149,-73.87575321672341,
40.85274589890694,-73.87571332239158,
40.85282979652059,-73.87567872187273,
40.85277977297715,-73.87559596353954,
