Path23,
40.84945088814552,-73.8793080575359,
40.84938872686099,-73.87936925042811,
40.84941717984382,-73.87945377744956,
40.84939262304831,-73.87936451894294,
40.84913225750571,-73.87930044620705,
40.84917102153273,-73.87922445828895,
40.84926595290273,-73.87914515378533,
40.84924297727306,-73.8790035986812,
40.84916656398276,-73.87892914534274,
40.84918336683799,-73.87884240949805,
40.84913611257866,-73.87880768119368,
40.84906858264482,-73.87886428771161,
40.84902456211024,-73.87886820236801,
40.8490265689862,-73.87878169655973,
40.84902470079086,-73.87870474857863,
40.84891711509403,-73.87864112312019,
40.84881160432839,-73.87868764965482,
40.84876467704733,-73.87870604820246,
40.84877676850704,-73.87880136845087,
40.84882893506741,-73.8788690707602,
40.8487336088894,-73.87897149059073,
40.84877842641872,-73.87903919552656,
40.84881823862015,-73.87902127142462,
40.84879222810643,-73.8789063725567,
40.8487336088894,-73.87897149059073,
40.84877842641872,-73.87903919552656,
40.84877446867154,-73.879210272442,
40.84874504454807,-73.87924721835651,
40.84870258307861,-73.87923613603922,
40.84872559353012,-73.87931769316197,
40.84881423090234,-73.8793499172703,
40.84886303940482,-73.87926121289297,
40.8489068911725,-73.87923895471046,
40.84897074626549,-73.87914533983098,
40.84901005808,-73.8791802560765,
40.84910171742897,-73.87918336263104,
40.84917080062282,-73.87923413792615,
40.84913975715533,-73.87929590270103,
40.84902834559423,-73.8793396855082,
40.84900994789781,-73.87918505919389,
40.84903577459666,-73.87933517690327,
40.84870381442929,-73.87948768542712,
40.84859601514512,-73.87910476739401,
40.84870392637003,-73.87948293963713,
40.84855808543998,-73.87952307216682,
40.84821517586066,-73.8797145210462,
40.84821014652122,-73.8797793188852,
40.84815810546114,-73.87982701792343,
40.84810143920442,-73.87980918583524,
40.84807332050084,-73.87972878099617,
40.84810504461494,-73.87966152070747,
40.8481560406838,-73.87964138193082,
40.84821529284299,-73.8797098781279,
